date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2021-05-19,LONG,12:10,12:55,15110.5,15088.0,-22.5,50,-1125.0,SIGNAL_FLIP
2021-05-19,SHORT,13:00,15:10,15087.7,15034.7,53.0,50,2650.0,TIME_EXIT
2021-05-21,SHORT,13:15,13:25,15082.0,15105.3,-23.3,50,-1165.0,SIGNAL_FLIP
2021-05-21,LONG,13:30,15:10,15105.2,15183.0,77.8,50,3890.0,TIME_EXIT
2021-05-24,SHORT,12:35,13:10,15207.4,15219.5,-12.1,50,-605.0,SIGNAL_FLIP
2021-05-24,LONG,13:15,13:40,15219.4,15201.8,-17.6,50,-880.0,SIGNAL_FLIP
2021-05-24,SHORT,13:45,14:35,15202.8,15233.6,-30.8,50,-1540.0,SIGNAL_FLIP
2021-05-24,LONG,14:40,15:10,15233.5,15203.7,-29.8,50,-1490.0,TIME_EXIT
2021-05-25,SHORT,11:15,11:40,15236.8,15258.2,-21.4,50,-1070.0,SIGNAL_FLIP
2021-05-25,LONG,11:45,12:05,15258.3,15243.2,-15.1,50,-755.0,SIGNAL_FLIP
2021-05-25,SHORT,12:10,12:30,15242.7,15256.0,-13.3,50,-665.0,SIGNAL_FLIP
2021-05-25,LONG,12:35,12:45,15256.0,15246.2,-9.8,50,-490.0,SIGNAL_FLIP
2021-05-25,SHORT,12:50,15:10,15246.0,15201.0,45.0,50,2250.0,TIME_EXIT
2021-05-27,LONG,10:05,14:05,15313.2,15327.0,13.8,50,690.0,SIGNAL_FLIP
2021-05-27,SHORT,14:10,15:10,15327.0,15332.0,-5.0,50,-250.0,TIME_EXIT
2021-05-28,SHORT,14:55,15:10,15431.2,15437.5,-6.3,50,-315.0,TIME_EXIT
2021-05-31,LONG,09:55,13:50,15462.5,15531.0,68.5,50,3425.0,SIGNAL_FLIP
2021-05-31,SHORT,13:55,14:00,15531.5,15561.4,-29.9,50,-1495.0,SIGNAL_FLIP
2021-05-31,LONG,14:05,15:10,15561.5,15585.2,23.7,50,1185.0,TIME_EXIT
2021-06-01,SHORT,10:25,12:35,15562.3,15581.0,-18.7,50,-935.0,SIGNAL_FLIP
2021-06-01,LONG,12:40,14:10,15581.4,15561.6,-19.8,50,-990.0,SIGNAL_FLIP
2021-06-01,SHORT,14:15,15:10,15561.7,15575.8,-14.1,50,-705.0,TIME_EXIT
2021-06-02,LONG,14:00,15:10,15500.9,15573.0,72.1,50,3605.0,TIME_EXIT
2021-06-03,SHORT,12:45,13:55,15633.7,15655.0,-21.3,50,-1065.0,SIGNAL_FLIP
2021-06-03,LONG,14:00,15:10,15654.9,15695.3,40.4,50,2020.0,TIME_EXIT
2021-06-04,SHORT,10:55,12:35,15687.8,15694.2,-6.4,50,-320.0,SIGNAL_FLIP
2021-06-04,LONG,12:40,13:05,15694.8,15664.6,-30.2,50,-1510.0,SIGNAL_FLIP
2021-06-04,SHORT,13:10,14:55,15664.7,15666.6,-1.9,50,-95.0,SIGNAL_FLIP
2021-06-04,LONG,15:00,15:10,15665.1,15672.2,7.1,50,355.0,TIME_EXIT
2021-06-07,SHORT,12:50,13:10,15704.2,15736.5,-32.3,50,-1615.0,SIGNAL_FLIP
2021-06-07,LONG,13:15,15:10,15735.4,15752.5,17.1,50,855.0,TIME_EXIT
2021-06-08,LONG,11:30,12:00,15728.2,15712.2,-16.0,50,-800.0,SIGNAL_FLIP
2021-06-08,SHORT,12:05,12:45,15713.3,15726.2,-12.9,50,-645.0,SIGNAL_FLIP
2021-06-08,LONG,12:50,15:10,15725.7,15737.5,11.8,50,590.0,TIME_EXIT
2021-06-09,SHORT,13:00,15:10,15777.2,15639.4,137.8,50,6890.0,TIME_EXIT
2021-06-10,SHORT,12:55,13:15,15701.8,15736.0,-34.2,50,-1710.0,SIGNAL_FLIP
2021-06-10,LONG,13:20,15:10,15735.6,15734.7,-0.9,50,-45.0,TIME_EXIT
2021-06-11,SHORT,11:35,14:00,15783.4,15794.8,-11.4,50,-570.0,SIGNAL_FLIP
2021-06-11,LONG,14:05,15:10,15795.2,15799.8,4.6,50,230.0,TIME_EXIT
2021-06-14,LONG,12:15,15:10,15719.8,15808.6,88.8,50,4440.0,TIME_EXIT
2021-06-15,SHORT,13:40,14:05,15863.0,15888.5,-25.5,50,-1275.0,SIGNAL_FLIP
2021-06-15,LONG,14:10,14:40,15888.5,15871.0,-17.5,50,-875.0,SIGNAL_FLIP
2021-06-15,SHORT,14:45,15:10,15873.4,15877.2,-3.8,50,-190.0,TIME_EXIT
2021-06-16,LONG,13:35,15:05,15788.8,15779.5,-9.3,50,-465.0,SIGNAL_FLIP
2021-06-16,SHORT,15:10,15:10,15780.3,15769.2,11.1,50,555.0,TIME_EXIT
2021-06-17,LONG,13:05,13:20,15733.5,15711.5,-22.0,50,-1100.0,SIGNAL_FLIP
2021-06-17,SHORT,13:25,13:35,15711.8,15728.7,-16.9,50,-845.0,SIGNAL_FLIP
2021-06-17,LONG,13:40,13:40,15729.3,15719.0,-10.3,50,-515.0,SIGNAL_FLIP
2021-06-17,SHORT,13:45,15:10,15718.8,15704.5,14.3,50,715.0,TIME_EXIT
